一,一
乙,乙
之,之
又,㇇乀
丁,一亅
丂,一乙
七,一乚,丿乚
丄,丨一
丅,一丨
万,一勹,一刀
丈,一乂
三,一二,一一一
上,一丨一,丶丨一
下,一卜,一丨丶
丌,一丿丨
不,一丿丨丶
丐,下勹,正丿
丑,㇆一丨一
丒,刃一
且,月一
丕,不一
世,廿丨一
丗,廿丨,十凵
丘,厂工,厂丅一
丙,一人冂
丞,氶一
丟,三厶
丠,北一
両,一山冂
並,丷亚,丷一业
丫,丶丶丨
丬,冫丨
中,口丨
丮,乁二丨
丯,丨彡
丰,丿二丨,三丨
串,口口丨,中口
丳,串丿
丵,业丷干
丷,丶丿
丸,丶九
丹,冂丶一
主,丶王
丼,井丶
乂,乀丿
乃,丿㇆㇆
久,丿入
乆,𠃊人
乇,丿七
么,丿厶
乍,丿丅二
乎,丿丷一亅
乏,丿之
乑,丿丨丿丿丶乀
乒,丘丿
乓,丘丶
乕,厂一巿,厂二巾
乖,千北
乗,禾艹一
乘,禾北,禾丬匕
乜,卩乚
九,丿乙
乞,丿一乙
也,卩丨乚
乢,山乙,山乚
乣,幺乙,幺乚
乨,台乙,台乚
乩,占乙,占乚
乪,乙田
乫,加乙
乭,石乙
乳,孚乙,孚乚
乴,折乙
乵,辛乙,辛乚
乶,甫乙
乷,沙乙
乸,也母
乹,十日十乚
乾,十日十乞
乿,爪糸乙,爫糸乚
亀,龟日,龟曰,刀日电
亁,十日干乞
亂,爪龴冂厶又乙,爫龴冂厶又乚
亃,粦乙,粦乚
亄,壹乙,壹乚
了,乛亅
予,龴乛亅
亊,一丷亅聿,一丷亅肀
事,一口聿,一口肀
二,一一
亍,一丁
于,二亅
亐,一丂
云,二厶
互,一彑
亓,一丌
五,二丨㇆
井,二丿丨
亖,二二
亗,山二
亙,万丶丶一,二彑丶
些,此二
亜,二口丨丨
亝,厽二
亞,二□
亟,丂口又一
亠,丶一
亡,丶匸
亢,亠几
亣,丶丌
交,亠父
亥,亠□人
亦,亠丿亅八
亨,亠口了
享,亠口子
京,亠口小
亭,亠口冖丁
亮,亠口冖儿
亯,亠口日
亰,亠日小
亱,亠但
亳,亠口冂乇
亴,亠口冂土九
亶,亠回旦
亷,亠兼丿
亹,亠舋
人,丿乀
亻,丿丨
亼,人一
亾,丨一人
什,人十,亻十
仁,人二,亻二
仂,人力,亻力
仃,人丁,亻丁
仄,厂人
仆,人卜,亻卜
仇,人九,亻九
仈,人八,亻八
仉,人几,亻几
今,人丶乛
介,人丿丨
仌,人人
仍,人乃,亻乃
仏,人厶,亻厶
仐,人十
仒,人冰,人冫,人丶丶
仔,人子,亻子
仕,人士,亻士
他,人也,亻也
仗,人丈,亻丈
付,人寸,亻寸
仙,人山,亻山
仚,人山
仛,人乇,亻乇
仜,人工,亻工
仝,人工
仞,人刃,亻刃
仟,人千,亻千
仠,人干,亻干
仡,人乞,亻乞
仢,人勺,亻勺
代,人弋,亻弋
令,人一卩
以,□丶人
仦,人小,亻小
仧,上人
仨,人三,亻三
仫,人么,亻么
仭,人刄,亻刄
仮,人反,亻反
仯,人少,亻少
仰,人卬,亻卬
仱,人今,亻今
仲,人中,亻中
仳,人比,亻比
仴,人月,亻月
仵,人午,亻午
件,人牛,亻牛
仸,人夭,亻夭
仹,人丰,亻丰
仺,人匚一
任,人壬,亻壬
仼,人王,亻王
份,人分,亻分
仾,人互,亻互
仿,人方,亻方
伀,人公,亻公
企,人止
伂,人巿,亻巿
伃,人予,亻予
伄,人弔,亻弔
伅,人屯,亻屯
伆,人勿,亻勿
伇,人殳,亻殳
伈,人心,亻心
伉,人亢,亻亢
伊,人尹,亻尹
伋,人及,亻及
伌,人厄,亻厄
伍,人五,亻五
伎,人支,亻支
伏,人犬,亻犬
伐,人戈,亻戈
休,人木,亻木
伒,人斤,亻斤
伓,人不,亻不
伔,人冗,亻冗
伕,人夫,亻夫
伖,人友,亻友
伙,人火,亻火
伜,人卆,亻卆
伢,人牙,亻牙
伨,人勻,亻勻
伩,人文,亻文
伭,人玄,亻玄
伮,人奴,亻奴
伯,人白,亻白
估,人古,亻古
伱,人尒,亻尒
伲,人尼,亻尼
伳,人世,亻世
伴,人半
伵,人四,亻四
伶,人令,亻令
伷,人由,亻由
伸,人申,亻申
伹,人且,亻且
伺,人司,亻司
伻,人平,亻平
似,人以,亻以
伽,人加,亻加
伾,人丕,亻丕
伿,人只,亻只
佀,人尸乛一,亻尸乛一
佁,人台,亻台
佂,人正,亻正
佃,人田,亻田
佄,人甘,亻甘
佅,人未,亻未
但,人旦,亻旦
佇,人宁,亻宁
佈,人布,亻布
佉,人去,亻去
佊,人皮,亻皮
佋,人召,亻召
佌,人此,亻此
位,人立,亻立
低,人氐,亻氐
住,人主,亻主
佐,人左,亻左
佑,人右,亻右
佒,人央,亻央
佔,人占,亻占
何,人可,亻可
佖,人必,亻必
佗,人它,亻它
佘,人示
余,人于八
佚,人失,亻失
佛,人弗,亻弗
作,人乍,亻乍
佝,人句,亻句
佞,人二女,亻二女
佟,人冬,亻冬
你,人尔,亻尔
佡,人仚,亻仚
佢,人巨,亻巨
佣,人用,亻用
佤,人瓦,亻瓦
佧,人卡,亻卡
佩,人几帀,亻几帀
佪,人回,亻回
佫,人各,亻各
佬,人老,亻老
佭,人夅,亻夅
佮,人合,亻合
佯,人羊,亻羊
佰,人百,亻百
佱,人一正,亻一正
佲,人名,亻名
佳,人圭,亻圭,人土土,亻土土
佴,人耳,亻耳
併,人并,亻并,人幷,亻幷
佶,人吉,亻吉
佷,人艮,亻艮
佸,人舌,亻舌
佹,人危,亻危
佺,人全,亻全
佻,人兆,亻兆
佼,人交,亻交
佽,人次,亻次
佾,人八月,亻八月,人八肉,亻八肉
使,人吏,亻吏
侀,人刑,亻刑
侁,人先,亻先
侂,人广乇,亻广乇
侃,人口川,亻口川
侄,人至,亻至
侅,人亥,亻亥
來,木人人,一人人丨人
侇,人夷,亻夷
侈,人多,亻多
侉,人夸,亻夸
侊,人光,亻光
例,人列,亻列
侌,今云
侍,人寺,亻寺
侎,人米,亻米
侏,人朱,亻朱
侐,人血,亻血
侑,人有,亻有
侒,人安,亻安
侓,人聿,亻聿
侔,人牟,亻牟
侕,人而,亻而
侖,人一冊
侗,人同,亻同
侘,人宅,亻宅
侙,人式,亻式
侚,人旬,亻旬
供,人共,亻共
侜,人舟,亻舟
依,人衣,亻衣
侞,人如,亻如
侟,人存,亻存
価,人西,亻西
侢,人再,亻再
侫,人忘,亻忘
侭,人尽,亻尽
侮,人每,亻每
侯,人乛一矢,亻乛一矢
侰,人君,亻君
侱,人呈,亻呈
侲,人辰,亻辰
侳,人坐,亻坐
侴,人一丑刀,人一丑刂
侵,人彐冖又,亻彐冖又
侶,人呂,亻呂
侷,人局,亻局
侸,人豆,亻豆
侹,人廷,亻廷
侺,人岑,亻岑
侻,人兌,亻兌
侼,人孛,亻孛
侽,人男,亻男
侾,人孝,亻孝
便,人更,亻更
俀,人妥,亻妥
俁,人吳,亻吳
係,人系,亻系
促,人足,亻足
俄,人我,亻我
俅,人求,亻求
俆,人余,亻余
俇,人狂,亻狂
俈,人告,亻告
俉,人吾,亻吾
俊,人夋,亻夋
俋,人邑,亻邑
俌,人甫,亻甫
俍,人良,亻良
俎,人人且,仌且
俏,人肖,亻肖
俐,人利,亻利
俑,人甬,亻甬
俒,人完,亻完
俓,人巠,亻巠
俔,人見,亻見
俕,人宋,亻宋
俖,人否,亻否
俗,人谷,亻谷
俘,人孚,亻孚
俙,人希,亻希
俚,人里,亻里
俛,人免,亻免
俜,人甹,亻甹
保,人呆,亻呆
俞,人一月刀,人一月刂
俟,人矣,亻矣
俠,人夾,亻夾
信,人言,亻言
俢,人夕彡,亻夂彡
俤,人弟,亻弟
俥,人車,亻車
修,攸彡
俯,人府,亻府
俰,人和,亻和
俱,人具,亻具
俲,人効,亻効
俳,人非,亻非
俴,人戔,亻戔
俵,人表,亻表
俶,人叔,亻叔
俷,人肥,亻肥
俸,人奉,亻奉
俹,人亞,亻亞
俺,人奄
俻,人备,亻备
俼,人育,亻育
俽,人欣,亻欣
俾,人卑,亻卑
俿,人虎,亻虎
倀,人長,亻長
倁,人知,亻知
倂,人幷,亻幷
倃,人咎,亻咎
倄,人肴,亻肴
倅,人卒,亻卒
倆,人兩,亻兩
倇,人宛,亻宛
倈,人來,亻來
倉,人尸一口
倊,人忩,亻忩
個,人固,亻固
倌,人官,亻官
倍,人咅,亻咅,人立口,亻立口
倎,人典,亻典
倏,攸犬
倐,攸火
們,人門,亻門
倒,人到,亻到
倓,人炎,亻炎
倔,人屈,亻屈
倕,人垂,亻垂
倖,人幸,亻幸
倗,人朋,亻朋
倘,人尚,亻尚
候,人丨乛一矢,亻丨乛一矢,侯丨
倚,人奇,亻奇
倛,人其,亻其
倜,人周,亻周
倝,十日十人
倞,人京,亻京
借,人昔,亻昔
倠,人隹,亻隹
倡,人昌,亻昌
倢,人疌,亻疌
倣,人放,亻放
値,人直,亻直
倥,人空,亻空
倦,人卷,亻卷
倧,人宗,亻宗
倨,人居,亻居
倩,人青,亻青
倪,人兒,亻兒
倫,人侖,亻侖
倬,人卓,亻卓
倭,人委,亻委
倮,人果,亻果
倯,人松,亻松
倰,人夌,亻夌
倱,人昆,亻昆
倲,人東,亻東
倳,人事,亻事
倴,人奔,亻奔
倵,人武,亻武
倶,人具,亻具
倷,人奈,亻奈
倸,人采,亻采
倹,人人一口人,亻人一口人
倻,人耶,亻耶
值,人直,亻直
倽,人舍,亻舍
偀,人英,亻英
偁,人爯,亻爯
偂,人前,亻前
偃,人匽,亻匽,人匚妟,亻匚妟,人匚日女,亻匚日女
偄,人耎,亻耎
偅,人重,亻重
偆,人春,亻春
假,人叚,亻叚
偈,人曷,亻曷
偉,人韋,亻韋
偊,人禹,亻禹
偋,人屏,亻屏
偌,人若,亻若
偍,人是,亻是
偎,人畏,亻畏
偏,人扁,亻扁
偐,人彦,亻彦
